Role,Industry,Skills,Specialisation,Job Function
Administration Clerk,Consulting Services,Use your free time in part time work and earn a lot of healthy income.,Administration,Administration
"Recruitment - Executive/ Officer, Fresher",Recruitment/Placement Agencies,"Excellent communication , Self Motivated , Microsoft Excel , Microsoft Office Excel , Mail Handling , Recruitments Sourcing",Recruitment,HR/PM/IR/Training
"Data Entry/ DTP/ Data Conversion - Operator, Data Entry/ DTP/ Data Conversion - Team Leader, Data Entry/ DTP/ Data Conversion - Manager, Operations/ Process - Associate","CRM/CallCentres/BPO/ITES/Med.Trans,  Software Services","Data Entry , English Typing","Any Process - Both BPO Type,Any Process - Domestic BPO Type,ITES Operations,Non Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
Other Packaging,Printing/Packaging,"Good Packing , Packing Materials , Manufacturing Process , Manufacturing Production",Packaging,Production/Manufacturing/Maintenance/Packaging
"Database Administrator (DBA), Software Developer/ Programmer, System Administrator, Web Programmer",IT-Software,"java , kotlin programming , flutter framework , Dart programming , IDE Android studio , Android SDK , Sql , Nosql","Application Programming,Database Administration (DBA),Software Engineer,Systems Programming",IT Software : Software Products & Services
"Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive","CRM/CallCentres/BPO/ITES/Med.Trans,  Educational/Training","Outbound Calls , Sales , sales manager , sales officer , business development officer , business development executive , bde , business development manager , business analyst","Any Process - Domestic BPO Type,Any Process - International BPO Type,Telesales","Operations/Customer Service/Telecalling/Backend,Sales/Business Development"
"Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator, Operations/ Process - Associate, Medical Transcriptionist/ Proof Reader (Medical)","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry Operator , Data Entry , Computer Operator , Computer Data Entry , Data Entry  / Computer Operator , Work From Home , Work from Home data Entry , Online Data Entry","Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type,Data entry","Operations/Customer Service/Telecalling/Backend,Front Office Staff/Secretarial/Computer Operator"
"Payroll/ Compensation - Executive, Payroll/ Compensation - Manager, Operations Executive/ Manager, Reservation/ Ticketing Officer","Hotel/Travel/Tourism/Airlines/Hospitality,  Marine/Aviation/Military/Mining/Shipping","Payroll , Employee , Management , Microsoft Technologies , Civil","Import/Export Accounting,Air Hostess,Cabin Crew,Ticketing","Accounting/Tax/Company Secretary/Audit,Ticketing/Reservation/Travel Agent/Airlines"
"Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator, Medical Transcriptionist/ Proof Reader (Medical), Other Back End/ Data/ Transaction Processing","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry , Data Entry Operator , Work From Home , Home base work , Work From Home Data Entry , Computer Operator , Data Entry Computer Operator , Home base job","Back-end/Transactions Processing,ITES Operations,Data entry,Work from home","Operations/Customer Service/Telecalling/Backend,Front Office Staff/Secretarial/Computer Operator"
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , executive , telecaller , customer care executive , cce , bpo , Customer , kpo , Customer Service , customer service executive , sales executive , tech sales","Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Software Quality Assurance Engineer, Software Testing Engineer/ Test Automation Engineer",IT-Software,"software testing , Quality Assurance , test engineer , software test engineer , software tester , qa tester , manual testing , software engineer","Quality Assurance/Testing,Software Engineer",IT Software : Software Products & Services
